ProductKey;ProductSubcategoryKey;ProductSKU;ProductName;ModelName;ProductDescription;ProductColor;ProductSize;ProductStyle;ProductCost;ProductPrice
214;31;HL-U509-R;Sport-100 Helmet, Red;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Red;0;0;13,0863;34,99
215;31;HL-U509;Sport-100 Helmet, Black;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Black;0;0;12,0278;33,6442
216;23;SO-B909-M;Mountain Bike Socks, M;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;White;M;U;3,3963;9,5
217;23;SO-B909-L;Mountain Bike Socks, L;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;White;L;U;3,3963;9,5
218;31;HL-U509-B;Sport-100 Helmet, Blue;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Blue;0;0;12,0278;33,6442
219;19;CA-1098;AWC Logo Cap;Cycling Cap;"Traditional style with a flip-up brim; one-size fits all.";Multi;0;U;5,7052;8,6442
220;21;LJ-0192-S;Long-Sleeve Logo Jersey, S;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Multi;S;U;31,7244;48,0673
221;21;LJ-0192-M;Long-Sleeve Logo Jersey, M;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Multi;M;U;31,7244;48,0673
222;21;LJ-0192-L;Long-Sleeve Logo Jersey, L;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Multi;L;U;31,7244;48,0673
223;21;LJ-0192-X;Long-Sleeve Logo Jersey, XL;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Multi;XL;U;31,7244;48,0673
224;14;FR-R92R-62;HL Road Frame - Red, 62;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Red;62;U;747,9682;1263,4598
