Order No;Item ID;Sales Date;Deilvery Date;Customer Id;City Id;Qty;Price;cost;DISC2;Dis Per;Gross Sales;Discount;Net Sales;Month Year;Sales Date time;Sales Date 1;Custom;COGS Amount
22561;26;2/10/2020 00:00;3/10/2020;2954;32;2;83;66;31.9;29;166;48.14;117.86;202010;10/2/2020;2/10/2020 00:00;4YOP;132
21928;19;1/10/2020 00:00;9/10/2020;2902;11;2;83;66;16.5;15;166;24.9;141.1;202010;10/1/2020;1/10/2020 00:00;4YOP;132
25908;36;30/9/2020 00:00;4/10/2020;5836;67;2;83;66;18.7;17;166;28.22;137.78;202009;9/30/2020;30/9/2020 00:00;4YOP;132
21215;16;29/9/2020 00:00;8/10/2020;4603;19;2;83;66;49.5;45;166;74.7;91.3;202009;9/29/2020;29/9/2020 00:00;4YOP;132
24119;26;29/9/2020 00:00;6/10/2020;5912;33;2;83;66;46.2;42;166;69.72;96.28;202009;9/29/2020;29/9/2020 00:00;4YOP;132
26052;52;21/9/2020 00:00;29/9/2020;2852;25;2;83;66;1.1;1;166;1.66;164.34;202009;9/21/2020;21/9/2020 00:00;4YOP;132
23330;52;18/9/2020 00:00;25/9/2020;5161;6;2;83;66;31.9;29;166;48.14;117.86;202009;9/18/2020;18/9/2020 00:00;4YOP;132
23843;50;18/9/2020 00:00;22/9/2020;2646;33;2;83;66;13.2;12;166;19.92;146.08;202009;9/18/2020;18/9/2020 00:00;4YOP;132
28647;13;16/9/2020 00:00;20/9/2020;3727;73;2;83;66;2.2;2;166;3.32;162.68;202009;9/16/2020;16/9/2020 00:00;4YOP;132
26042;39;15/9/2020 00:00;22/9/2020;6501;85;2;83;66;14.3;13;166;21.58;144.42;202009;9/15/2020;15/9/2020 00:00;4YOP;132
29414;27;15/9/2020 00:00;18/9/2020;1891;58;2;83;66;20.9;19;166;31.54;134.46;202009;9/15/2020;15/9/2020 00:00;4YOP;132
23844;28;13/9/2020 00:00;21/9/2020;4345;36;2;83;66;16.5;15;166;24.9;141.1;202009;9/13/2020;13/9/2020 00:00;4YOP;132
27530;11;10/9/2020 00:00;14/9/2020;6067;8;2;83;66;12.1;11;166;18.26;147.74;202009;9/10/2020;10/9/2020 00:00;4YOP;132
22633;52;9/9/2020 00:00;13/9/2020;5673;66;2;83;66;26.4;24;166;39.84;126.16;202009;9/9/2020;9/9/2020 00:00;4YOP;132
21675;18;8/9/2020 00:00;17/9/2020;5954;49;2;83;66;40.7;37;166;61.42;104.58;202009;9/8/2020;8/9/2020 00:00;4YOP;132
27973;23;8/9/2020 00:00;15/9/2020;4709;91;2;83;66;36.3;33;166;54.78;111.22;202009;9/8/2020;8/9/2020 00:00;4YOP;132
21715;47;6/9/2020 00:00;12/9/2020;718;37;2;83;66;11;10;166;16.6;149.4;202009;9/6/2020;6/9/2020 00:00;4YOP;132
25938;20;5/9/2020 00:00;6/9/2020;4164;10;2;83;66;40.7;37;166;61.42;104.58;202009;9/5/2020;5/9/2020 00:00;4YOP;132
25237;47;4/9/2020 00:00;8/9/2020;2796;59;2;83;66;2.2;2;166;3.32;162.68;202009;9/4/2020;4/9/2020 00:00;4YOP;132
29928;44;4/9/2020 00:00;13/9/2020;540;63;2;83;66;35.2;32;166;53.12;112.88;202009;9/4/2020;4/9/2020 00:00;4YOP;132
27822;55;1/9/2020 00:00;10/9/2020;3691;93;2;83;66;19.8;18;166;29.88;136.12;202009;9/1/2020;1/9/2020 00:00;4YOP;132
23564;53;31/8/2020 00:00;8/9/2020;2145;20;2;83;66;38.5;35;166;58.1;107.9;202008;8/31/2020;31/8/2020 00:00;4YOP;132
24844;49;29/8/2020 00:00;29/8/2020;479;98;2;83;66;45.1;41;166;68.06;97.94;202008;8/29/2020;29/8/2020 00:00;4YOP;132
25747;19;26/8/2020 00:00;31/8/2020;5294;53;2;83;66;45.1;41;166;68.06;97.94;202008;8/26/2020;26/8/2020 00:00;4YOP;132
27005;38;26/8/2020 00:00;30/8/2020;4623;53;2;83;66;19.8;18;166;29.88;136.12;202008;8/26/2020;26/8/2020 00:00;4YOP;132
24581;43;22/8/2020 00:00;27/8/2020;4356;72;2;83;66;39.6;36;166;59.76;106.24;202008;8/22/2020;22/8/2020 00:00;4YOP;132
25906;55;19/8/2020 00:00;20/8/2020;5663;28;2;83;66;35.2;32;166;53.12;112.88;202008;8/19/2020;19/8/2020 00:00;4YOP;132
