geocode,etiqueta,granularidad,longitud,latitud
001_O,Otros territorios,PAISES,-109.2175,10.3037
001_O,Otros territorios,PAISES,94.4946,28.4402
001_O,Otros territorios,PAISES,33.6915,21.8998
001_O,Otros territorios,PAISES,28.3975,9.7746
001_O,Otros territorios,PAISES,111.8758,16.3681
001_O,Otros territorios,PAISES,117.732,15.2128
001_O,Otros territorios,PAISES,79.1237,35.0111
001_O,Otros territorios,PAISES,79.326,32.8821
001_O,Otros territorios,PAISES,35.0029,4.7378
001_O,Otros territorios,PAISES,75.7996,34.5631
001_O,Otros territorios,PAISES,147.9103,45.1573
001_O,Otros territorios,PAISES,40.3499,-22.361
001_O,Otros territorios,PAISES,35.4819,22.3617
001_O,Otros territorios,PAISES,115.1302,10.6117
001_O,Otros territorios,PAISES,-75.0125,18.4019
001_O,Otros territorios,PAISES,123.5295,25.772
004,Afganistán,PAISES,65.9979,33.8179
008,Albania,PAISES,20.0708,41.1389
010,Antártida,PAISES,22.8986,-79.9284
012,Argelia,PAISES,2.6825,28.1467
016,Samoa Americana,PAISES,-170.7284,-14.304
020,Andorra,PAISES,1.5914,42.5422
024,Angola,PAISES,17.5818,-12.3604
028,Antigua y Barbuda,PAISES,-61.8097,17.0785
031,Azerbaiyán,PAISES,47.6875,40.3449
032,Argentina,PAISES,-63.5885,-31.5807
036,Australia,PAISES,134.3612,-25.5817
040,Austria,PAISES,14.1373,47.5847
044,Las Bahamas,PAISES,-76.6112,24.2543
048,Bahrein,PAISES,50.5474,26.0546
050,Bangladesh,PAISES,90.2518,23.8479
051,Armenia,PAISES,44.9184,40.3035
052,Barbados,PAISES,-59.5555,13.167
056,Bélgica,PAISES,4.6593,50.6429
060,Bermudas,PAISES,-64.7663,32.2994
064,Bhután,PAISES,90.4666,27.383
068,Estado Plurinacional de Bolivia,PAISES,-64.6743,-16.7156
070,Bosnia y Herzegovina,PAISES,17.7899,44.1624
072,Botswana,PAISES,23.8028,-22.1802
074,Isla Bouvet,PAISES,3.3671,-54.4229
076,Brasil,PAISES,-53.0849,-10.7672
084,Belice,PAISES,-88.7141,17.1903
086,El Territorio Británico del Océano Índico,PAISES,72.4196,-7.3149
090,Islas Salomón,PAISES,159.6008,-8.8995
092,Islas Vírgenes británicas,PAISES,-64.5158,18.5115
096,Brunei Darussalam,PAISES,114.6023,4.5553
100,Bulgaria,PAISES,25.235,42.7546
104,Myanmar,PAISES,96.501,21.2369
108,Burundi,PAISES,29.8912,-3.3741
112,Belarús,PAISES,28.0284,53.5308
116,Camboya,PAISES,104.9152,12.7146
120,Camerún,PAISES,12.7363,5.6658
124,Canadá,PAISES,-101.8126,57.6978
132,Cabo Verde,PAISES,-23.9802,15.9412
136,Las Islas Caimán,PAISES,-81.2119,19.323
140,La República Centroafricana,PAISES,20.9507,7.0012
144,Sri Lanka,PAISES,80.7079,7.6065
148,Chad,PAISES,18.6701,15.344
152,Chile,PAISES,-69.1554,-22.9087
156,China,PAISES,104.1494,32.3102
162,Isla de Navidad,PAISES,105.6473,-10.4806
166,Las Islas Cocos / Keeling,PAISES,96.8545,-12.1447
170,Colombia,PAISES,-73.0781,3.8983
174,Las Comoras,PAISES,43.3442,-11.6063
178,El Congo,PAISES,15.2674,-0.839
180,La República Democrática del Congo,PAISES,23.6559,-2.8703
184,Las Islas Cook,PAISES,-158.9782,-19.2114
188,Costa Rica,PAISES,-84.1701,9.9959
191,Croacia,PAISES,16.4894,43.756
192,Cuba,PAISES,-79.3227,21.9946
196,Chipre,PAISES,33.1739,35.0284
203,República Checa,PAISES,15.3276,49.7382
204,Benin,PAISES,2.3384,9.6486
208,Dinamarca,PAISES,9.3193,56.0271
212,Dominica,PAISES,-61.3474,15.4111
214,La República Dominicana,PAISES,-70.5106,18.9012
218,Ecuador,PAISES,-78.3577,-1.4201
222,El Salvador,PAISES,-88.887,13.7413
226,Guinea Ecuatorial,PAISES,10.4688,1.5921
231,Etiopía,PAISES,39.6403,8.6307
232,Eritrea,PAISES,38.132,16.1236
233,Estonia,PAISES,25.8548,58.6709
234,Las Islas Feroe,PAISES,-6.9815,62.1202
238,Las Islas Malvinas [Falkland],PAISES,-58.7523,-51.7388
239,La Georgia del Sur y las Islas Sandwich del Sur,PAISES,-36.2044,-54.6015
242,Fiji,PAISES,177.9517,-17.8274
246,Finlandia,PAISES,26.2795,64.4974
250,Francia,PAISES,2.5059,46.6183
258,Polinesia Francesa,PAISES,-145.2486,-15.4228
260,Las Tierras Australes Francesas,PAISES,69.2169,-49.3089
262,Djibouti,PAISES,42.2053,11.6033
266,Gabón,PAISES,11.7646,-0.6157
268,Georgia,PAISES,43.2962,42.0572
270,La Gambia,PAISES,-16.0613,13.3811
275,Estado de Palestina,PAISES,35.2786,31.9693
276,Alemania,PAISES,10.3767,51.0771
288,Ghana,PAISES,-1.1985,7.9616
292,Gibraltar,PAISES,-5.3461,36.1432
296,Kiribati,PAISES,-157.4016,1.8716
300,Grecia,PAISES,22.5402,39.4982
304,Groenlandia,PAISES,-41.388,74.7663
308,Granada,PAISES,-61.6809,12.1196
316,Guam,PAISES,144.717,13.3633
320,Guatemala,PAISES,-91.2288,15.0125
324,Guinea,PAISES,-11.3051,11.0087
328,Guyana,PAISES,-58.9618,4.803
332,Haití,PAISES,-72.3646,18.3858
334,Isla Heard e Islas McDonald,PAISES,73.5251,-53.1095
336,La Santa Sede,PAISES,12.4528,41.9035
340,Honduras,PAISES,-86.6222,14.8298
344,Hong Kong,PAISES,114.1142,22.4349
348,Hungría,PAISES,19.4066,47.1616
352,Islandia,PAISES,-18.8569,64.756
356,India,PAISES,79.4676,22.349
360,Indonesia,PAISES,117.2774,-2.2261
